provider_name,scheme_name,account_type,option_name,option_type,management_fee_pct,indirect_cost_ratio,performance_fee,transactional_cost,risk_label,risk_band,performance_1yr,performance_3yr,performance_5yr,performance_10yr,asset_allocation_json,source_url,scraped_at
HUB24,HUB24 Invest - CORE Menu,Wrap,BlackRock Active Multi-Asset Growth Portfolio,Multi Sector Growth,0.164,0.518,0.044,0.301,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Dimensional Core 100/0 Wealth Model Portfolio,Multi Sector High Growth,0.164,0.354,,0.027,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Dimensional Core 50/50 Wealth Model Portfolio,Multi Sector Balanced,0.164,0.329,,0.028,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Dimensional Core 70/30 Wealth Model Portfolio,Multi Sector Growth,0.164,0.346,,0.031,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Elston Growth 30 Portfolio,Multi Sector Moderately Conservative,0.41,0.461,0.017,0.049,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Elston Growth 50 Portfolio,Multi Sector Balanced,0.41,0.433,0.027,0.057,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Elston Growth 70 Portfolio,Multi Sector Growth,0.41,0.388,0.024,0.072,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Elston Growth 85 Portfolio,Multi Sector Growth,0.41,0.346,0.024,0.075,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Elston Growth 97 Portfolio,Multi Sector High Growth,0.41,0.298,0.024,0.077,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Elston Income 50 Portfolio,Multi Sector Balanced,0.41,0.43,0.027,0.103,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Elston Income 70 Portfolio,Multi Sector Growth,0.41,0.371,0.027,0.107,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Elston Income 85 Portfolio,Multi Sector High Growth,0.41,0.337,0.027,0.106,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Evergreen Premier Balanced Portfolio,Multi Sector Balanced,0.256,0.608,0.152,0.151,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Evergreen Premier Conservative Portfolio,Multi Sector Moderately Conservative,0.256,0.543,0.073,0.109,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Evergreen Premier Growth Portfolio,Multi Sector Growth,0.256,0.679,0.201,0.171,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Dynamic 30 Portfolio,Multi Sector,Tiered,0.79,0.03,0.05,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Dynamic 50 Portfolio,Multi Sector,Tiered,0.88,0.06,0.05,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Dynamic 70 Portfolio,Multi Sector,Tiered,0.98,0.08,0.05,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Dynamic 85 Portfolio,Multi Sector,Tiered,1.06,0.09,0.04,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Enhanced Index 100 Portfolio,Multi Sector,Tiered,0.26,,,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Enhanced Index 30 Portfolio,Multi Sector,Tiered,0.56,,0.04,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Enhanced Index 50 Portfolio,Multi Sector,Tiered,0.47,,0.03,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Enhanced Index 70 Portfolio,Multi Sector,Tiered,0.38,,0.02,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Enhanced Index 85 Portfolio,Multi Sector,Tiered,0.3,,0.01,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Strategic 100 Portfolio,Multi Sector,Tiered,0.93,0.11,0.05,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Strategic 50 Portfolio,Multi Sector,Tiered,0.83,0.04,0.06,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Strategic 70 Portfolio,Multi Sector,Tiered,0.86,0.05,0.05,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
